                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.58903,                0.40501,                 1.0006,                0.96551,                0.96365,                 0.9908,                0.85073,                0.55257,                0.35902,                 1.0625,              0.0076281,              0.0076281,              0.0076281
                    117,                0.56888,                0.38294,                0.97298,                0.97097,                0.97708,                0.98975,                0.86969,                0.53894,                  0.338,                 1.0434,              0.0076075,              0.0076075,              0.0076075
                    118,                0.58557,                0.39608,                 1.0032,                0.95599,                0.98362,                0.98975,                0.84379,                 0.5467,                 0.3446,                 1.0488,              0.0075869,              0.0075869,              0.0075869
                    119,                0.60132,                0.37855,                0.99732,                0.96765,                0.95347,                 0.9709,                0.82467,                0.54622,                0.36193,                 1.0438,              0.0075663,              0.0075663,              0.0075663
                    120,                0.60225,                0.39702,                 1.0119,                0.95421,                0.95398,                0.96677,                0.83227,                0.54668,                0.37454,                 1.0252,              0.0075456,              0.0075456,              0.0075456
                    121,                 0.5683,                0.40746,                0.97653,                0.97137,                0.97143,                0.97269,                0.84476,                0.54477,                0.32685,                 1.0165,               0.007525,               0.007525,               0.007525
                    122,                0.58317,                0.38782,                0.98218,                0.96331,                0.97051,                0.97233,                0.83775,                0.55209,                0.32449,                 1.0144,              0.0075044,              0.0075044,              0.0075044
                    123,                0.58994,                0.40348,                0.98695,                0.96487,                0.95943,                0.98199,                0.82195,                0.59253,                0.35303,                 1.0493,              0.0074837,              0.0074837,              0.0074837
                    124,                0.57608,                0.38653,                0.97672,                0.95708,                0.94762,                0.98131,                0.83731,                0.56735,                0.35559,                 1.0328,              0.0074631,              0.0074631,              0.0074631
                    125,                0.55188,                0.37489,                 0.9906,                0.92338,                0.95714,                0.96922,                0.82907,                0.56656,                  0.378,                 1.0348,              0.0074425,              0.0074425,              0.0074425
                    126,                0.59203,                0.38155,                 1.0103,                0.96861,                0.96686,                 0.9873,                0.83536,                0.58973,                0.35834,                 1.0745,              0.0074219,              0.0074219,              0.0074219
                    127,                0.58194,                0.36784,                0.98545,                0.97048,                0.94591,                0.98241,                0.83601,                0.57652,                0.37783,                 1.0634,              0.0074013,              0.0074013,              0.0074013
                    128,                0.58219,                0.38396,                0.98669,                0.95289,                0.91939,                0.97294,                0.83509,                0.55704,                0.37799,                 1.0558,              0.0073806,              0.0073806,              0.0073806
                    129,                0.56264,                0.38311,                 1.0103,                0.93129,                0.93884,                0.96699,                0.82293,                0.57648,                0.40913,                 1.0566,                0.00736,                0.00736,                0.00736
                    130,                0.57498,                0.36498,                 1.0044,                0.96429,                0.93807,                0.97762,                0.81608,                0.60811,                0.37219,                 1.0739,              0.0073394,              0.0073394,              0.0073394
                    131,                0.57083,                0.39383,                0.98768,                0.96904,                0.94988,                0.98524,                0.83206,                0.58866,                0.34261,                 1.0551,              0.0073188,              0.0073188,              0.0073188
                    132,                0.59427,                0.39521,                0.98383,                0.95978,                0.97143,                0.98353,                0.84395,                0.57429,                 0.3214,                 1.0371,              0.0072981,              0.0072981,              0.0072981
                    133,                0.59143,                0.35682,                 1.0004,                0.95019,                0.97143,                0.97772,                0.83947,                0.56168,                0.31663,                 1.0259,              0.0072775,              0.0072775,              0.0072775
                    134,                0.56122,                0.35245,                0.96402,                0.96857,                0.99919,                0.98256,                0.85654,                0.54281,                0.30491,                 1.0175,              0.0072569,              0.0072569,              0.0072569
                    135,                0.57282,                0.39622,                0.99719,                0.95711,                      1,                0.98256,                0.83512,                0.55556,                0.29986,                 1.0189,              0.0072362,              0.0072362,              0.0072362
                    136,                 0.5457,                0.35882,                0.98211,                0.97179,                0.99814,                0.98256,                0.82627,                0.58224,                0.32712,                 1.0343,              0.0072156,              0.0072156,              0.0072156
                    137,                0.53337,                 0.3773,                0.99257,                0.96121,                0.97143,                0.97906,                0.80769,                0.58689,                0.32661,                 1.0471,               0.007195,               0.007195,               0.007195
                    138,                0.57041,                0.37995,                0.97436,                0.95261,                0.94286,                0.96531,                 0.7858,                0.64705,                0.38447,                 1.1375,              0.0071744,              0.0071744,              0.0071744
                    139,                0.56134,                0.37525,                 0.9725,                0.96138,                0.96721,                0.96568,                0.79977,                0.62032,                0.34942,                  1.134,              0.0071538,              0.0071538,              0.0071538
                    140,                0.53985,                0.35927,                0.98911,                0.94812,                0.98266,                0.98256,                0.83653,                0.55932,                 0.3222,                 1.0374,              0.0071331,              0.0071331,              0.0071331
                    141,                0.52713,                0.35489,                0.96799,                0.97123,                0.97708,                0.98256,                0.83419,                0.54891,                0.30118,                 1.0348,              0.0071125,              0.0071125,              0.0071125
                    142,                0.52823,                0.35723,                0.97506,                0.94334,                0.98874,                0.98787,                0.83426,                0.57154,                0.32609,                 1.0521,              0.0070919,              0.0070919,              0.0070919
                    143,                0.54355,                0.36897,                0.97418,                0.94021,                0.98667,                0.98262,                0.82895,                0.58344,                0.35659,                 1.0484,              0.0070712,              0.0070712,              0.0070712
                    144,                0.52896,                0.36051,                0.97704,                0.91736,                0.97161,                0.98219,                 0.8317,                0.59004,                0.54528,                 1.0567,              0.0070506,              0.0070506,              0.0070506
                    145,                 0.5342,                0.34128,                0.96414,                0.83987,                0.99188,                0.99325,                0.84673,                0.56418,                0.57388,                 1.0348,                0.00703,                0.00703,                0.00703
                    146,                0.53176,                0.34574,                0.97211,                 0.9314,                0.94126,                0.99325,                0.85689,                0.55189,                0.41861,                 1.0311,              0.0070094,              0.0070094,              0.0070094
                    147,                0.53942,                0.34911,                 0.9425,                0.95894,                0.92866,                0.98989,                0.85106,                0.54209,                0.36542,                 1.0282,              0.0069888,              0.0069888,              0.0069888
                    148,                 0.5318,                0.34536,                0.97968,                0.94143,                0.98788,                 0.9915,                0.85315,                0.55166,                0.34757,                 1.0435,              0.0069681,              0.0069681,              0.0069681
                    149,                0.55254,                0.36696,                0.96985,                0.93712,                0.95982,                0.98975,                0.85193,                0.57741,                 0.3263,                 1.0742,              0.0069475,              0.0069475,              0.0069475
                    150,                0.52818,                0.35307,                0.97238,                0.93347,                0.99774,                  0.995,                0.86114,                0.54712,                0.29703,                 1.0439,              0.0069269,              0.0069269,              0.0069269
                    151,                0.54833,                0.36049,                0.97049,                0.93242,                0.90975,                0.98787,                0.84025,                0.59143,                0.45863,                 1.0855,              0.0069063,              0.0069063,              0.0069063
                    152,                0.54138,                0.35661,                0.98086,                0.94511,                0.96392,                0.98625,                0.82826,                0.61508,                0.37111,                 1.1022,              0.0068856,              0.0068856,              0.0068856
